VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,5/1/2015 0:01,5/1/2015 0:02,N,1,-73.93750763,40.75816727,-73.93755341,40.75812531,1,0,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,5/1/2015 0:01,5/1/2015 0:05,N,1,-73.94039154,40.82504654,-73.94872284,40.82658386,1,0.79,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,5/1/2015 0:01,5/1/2015 0:15,N,1,-73.99227142,40.68954086,-73.93875122,40.67770386,1,0,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,5/1/2015 0:01,5/1/2015 0:15,N,1,-73.9548645,40.73368073,-73.94655609,40.69870758,1,2.99,12,0.5,0.5,3.32,0,,0.3,16.62,1,1
2,5/1/2015 0:01,5/1/2015 0:23,N,5,-73.92433929,40.81512833,-73.83847809,40.87706375,1,12.34,17,0,0,0,0,,0,17,2,2
1,5/1/2015 0:01,5/1/2015 0:08,N,1,-73.93812561,40.80470657,-73.92448425,40.81069565,1,1.3,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,5/1/2015 0:01,5/1/2015 0:01,N,2,-73.87099457,40.72822189,-73.87094879,40.72822571,1,0,52,0,0.5,0,0,,0.3,52.8,2,1
2,5/1/2015 0:02,5/1/2015 0:11,N,1,-73.91121674,40.76861572,-73.93460846,40.75193024,1,1.86,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,5/1/2015 0:01,5/1/2015 0:12,N,1,-73.97332001,40.6859169,-73.9278717,40.69288635,1,2.55,10.5,0.5,0.5,2.2,0,,0.3,14,1,1
2,5/1/2015 0:02,5/1/2015 0:18,N,1,-73.95600128,40.7141571,-73.9786377,40.73658371,1,3.45,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
2,5/1/2015 0:01,5/1/2015 0:22,N,1,-73.96107483,40.71670914,-73.90911102,40.70181274,1,4.43,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,5/1/2015 0:02,5/1/2015 0:24,N,1,-73.98375702,40.6679306,-73.95714569,40.74580383,1,9.31,28,0.5,0.5,5.86,0,,0.3,35.16,1,1
2,5/1/2015 0:02,5/1/2015 0:26,N,1,-73.86660767,40.74953079,-73.78156281,40.70262146,5,8.21,27,0.5,0.5,0,0,,0.3,28.3,2,1
1,5/1/2015 0:01,5/1/2015 0:41,N,1,-73.98868561,40.69360733,-73.78456879,40.66624832,3,12.3,38.5,0.5,0.5,0,0,,0.3,39.8,2,1
2,5/1/2015 0:03,5/1/2015 0:05,N,1,-73.98178101,40.57678986,-73.99399567,40.57563782,1,0.68,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,5/1/2015 0:03,5/1/2015 0:06,N,1,-73.8605423,40.83348846,-73.85719299,40.84111023,1,0.75,4.5,0.5,0.5,0,0,,0.3,5.8,1,1
2,5/1/2015 0:03,5/1/2015 0:06,N,1,-73.95147705,40.69006348,-73.9436264,40.69226074,5,0.61,-4.5,-0.5,-0.5,0,0,,-0.3,-5.8,3,1
2,5/1/2015 0:02,5/1/2015 0:08,N,1,-73.95249939,40.81062698,-73.96095276,40.80176544,1,0.98,6,0.5,0.5,2,0,,0.3,9.3,1,1
2,5/1/2015 0:03,5/1/2015 0:10,N,1,-73.83216858,40.71481323,-73.79724121,40.72057343,1,2.2,9,0.5,0.5,0,0,,0.3,10.3,1,1
